"",gene_symbol,GSM1936737,GSM1936738,GSM1936739,GSM1936740,GSM1936741,GSM1936742,GSM1936743,GSM1936744,GSM1936745,GSM1936746,GSM1936747,GSM1936748,GSM1936749,GSM1936750,GSM1936751,GSM1936752,GSM1936753,GSM1936754
ENSG00000144224,UBXN4,5648.1874,5006.0277,5061.5676,9725.2196,4758.7714,4522.0174,5952.7602,6128.0974,5227.8076,4949.4828,4640.0355,4412.9735,5630.6047,6322.9205,9369.2129,12279.5695,6095.2985,6138.9263
ENSG00000144227,NXPH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000144228,SPOPL,820.1384,772.862,541.4516,1135.5716,500.549,493.4714,610.0989,588.654,522.3589,361.0904,372.9786,370.1225,484.1715,532.4349,618.6589,881.8592,390.1519,350.6103
ENSG00000144229,THSD7B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0104,0,0,0
ENSG00000144230,GPR17,25.8344,30.224,24.47,39.1039,20.6685,27.0866,18.5953,18.6186,11.2259,8.7097,26.3546,32.1552,5.7351,23.1741,19.6583,36.4457,22.8375,24.4235
ENSG00000144231,POLR2D,1176.0458,1100.7154,741.4668,1811.622,974.2504,1036.635,1606.6601,1680.8329,1224.8519,1233.3939,1274.6223,1226.9618,1109.118,1274.885,1899.1964,2275.6653,945.5914,968.8989
ENSG00000144233,AMMECR1L,1499.5142,1464.4063,1091.1294,2305.9866,1172.3897,1196.5405,1425.8303,1494.813,1216.6464,1142.4646,1183.8488,1205.594,1413.2498,1757.0112,2672.9936,3203.9952,1289.9506,1358.3042
ENSG00000144278,GALNT13,12.985,1.4776,1.7661,0,6.6028,0.4065,3.503,0,1.449,1.2123,0,9.0536,6.8,6.9676,10.0274,16.3748,0.8057,6.8354
ENSG00000144283,PKP4,1054.9052,1042.9222,553.6917,1263.8597,507.57,525.4486,1407.7405,1226.6956,528.0379,527.5143,708.5265,778.0044,1140.2968,1059.0377,1248.5206,1371.628,503.7144,613.7259
ENSG00000144285,SCN1A,87.642,5.3696,5.1224,139.6957,76.3067,69.2996,79.7221,0.9796,26.5244,122.6451,0.9778,74.986,1.0623,1.6477,0.9741,3.9874,290.6184,63.0903
ENSG00000144290,SLC4A10,2.5062,0,0,4.442,0,0,0,0,2.1953,4.3517,4.5286,0,0,0,2.2308,4.5965,2.5789,2.7039
ENSG00000144306,SCRN3,643.25,590.3552,389.7017,590.9843,399.4368,382.8645,596.9282,610.5026,437.681,339.7736,434.7687,391.5067,389.4174,579.2257,632.7122,739.4099,338.4877,391.1136
ENSG00000144320,LNPK,2696.2986,2428.9377,1854.2871,3911.4202,1734.6702,1662.8349,3094.2583,3446.8778,2547.6204,2129.402,2479.3353,2284.2866,2214.1543,2748.778,3642.0411,4441.8444,1795.5838,1776.9808
ENSG00000144331,ZNF385B,22.9891,14.9718,21.1951,30.4055,39.4287,39.666,1.4679,0,8.5805,16.1183,19.4262,8.649,4.6075,17.6377,22.5012,64.9288,44.4098,45.7724
ENSG00000144339,TMEFF2,117.4889,129.8469,149.4575,258.8737,176.3461,127.8116,113.2904,225.2812,184.8372,124.1404,122.48,132.4011,48.7901,89.6602,119.6448,154.5638,62.4764,76.786
ENSG00000144354,CDCA7,419.6621,438.59,257.9667,476.7939,235.1073,240.8594,974.2418,961.1431,399.1783,409.9058,545.9036,564.2229,460.3825,537.2129,709.0215,955.2697,248.8202,285.4823
ENSG00000144355,DLX1,27.9613,29.2124,19.2283,48.7895,51.1203,40.2551,32.4411,34.8896,27.9807,25.2724,26.6979,42.9266,37.1374,44.2594,48.4955,75.7183,55.075,48.8568
ENSG00000144357,UBR3,2200.8019,1693.9783,1568.3163,2947.0158,1779.5519,1804.0258,2477.5053,2244.2621,1728.9029,1511.9984,1751.9687,1876.2096,2170.6157,2321.8809,2969.0463,4104.771,1692.5144,1929.0263
ENSG00000144362,PHOSPHO2,25.0765,30.3101,10.4177,21.0128,8.8794,12.3589,27.6933,15.2343,5.5687,11.5569,17.7121,12.7022,27.7515,29.5499,22.2292,24.7681,19.9437,18.8053
ENSG00000144366,GULP1,1008.886,1192.0135,1219.3093,2517.1625,1367.9664,1341.3263,1247.0482,1280.3955,1421.4857,1151.5465,1352.8203,1451.343,977.7628,1004.3393,3114.7895,4020.4773,1139.5688,1404.1787
ENSG00000144369,FAM171B,744.8412,660.7774,610.7382,1115.5622,489.4866,511.9631,536.3475,504.5345,452.38,402.1914,375.4904,333.2554,796.9272,900.0005,1049.3483,1472.4591,755.9794,676.7498
ENSG00000144381,HSPD1,7310.3843,7252.5258,5227.6756,11122.8418,5811.6187,5627.9029,11250.3346,11907.3249,7962.7369,8476.1735,8222.7702,8564.0503,6932.9225,8258.2179,12878.358,14840.5219,6234.5095,6810.8765
ENSG00000144395,CCDC150,104.6133,94.5687,63.5198,104.1487,101.4651,39.113,215.6921,239.55,153.6699,169.1178,120.366,94.3167,101.0674,106.5435,186.5761,269.5123,94.1524,122.4021
ENSG00000144401,METTL21A,369.8699,363.6345,248.9528,514.9157,141.8305,160.4514,387.5211,487.8994,336.2633,366.0981,200.9736,222.677,379.0524,441.1782,650.359,751.3427,164.4527,244.9521
ENSG00000144406,UNC80,35.9399,54.5515,50.2059,116.5373,49.2445,59.2133,91.0484,40.0223,58.4443,48.9606,36.2163,55.693,49.0604,73.9219,122.081,134.0203,86.6772,72.4457
ENSG00000144407,PTH2R,0,0,0,0,0,0,0,0,0,0.9982,0,0,0,0,1.0068,0,0,0
ENSG00000144410,CPO,0,2.0184,0,3.9804,0,1.9988,2.0134,1.0023,1.9795,1.982,3.0175,2.977,2.0079,1.0059,8.0222,2.9865,2.0033,1.9874
ENSG00000144426,NBEAL1,674.5698,619.4055,337.6122,772.4794,405.3775,334.9865,680.3079,733.6692,359.2872,371.0275,356.2146,390.0355,447.4709,548.6983,708.2173,820.9625,404.0835,449.6797
